Titulo,Autor,Editor,TituloBusqueda,cluster id,confidence
iii. certamen nacional de pintura vendimia inicial oro,"blasco carrascosa, juan angel",consejo regulador de denom. origen utiel-requena,iii. certamen nacional de pintura vendimia inicial oro,41,1
martin yuso,"martin yuso juan angel blasco carrascosa, tex",,martin yuso,42,1
benidorm benidorm,teresina mosco,"ayuntamiento de valencia, palau de la musica",benidorm benidorm,43,1
p. juan durango (1632-1696),"sierra perez, jose",ediciones escurialenses,p. juan durango (1632-1696),44,1
humanidades,"alvarez garcia, ma azucena",centro de estudios poeticos,humanidades,45,1
america latina: teatro y revolucion,"monleon, jose",ateneo de caracas,america latina: teatro y revolucion,46,1
"rafael alberti y nuria espert, poesia y voz de la escena espanola","monleon, jose",ateneo de caracas,"rafael alberti y nuria espert, poesia y voz de la escena espanola",47,1
el fascismo en espana,"fernandez vargas, valentina",la pietra,el fascismo en espana,48,1
essercito e franchismo,"fernandez vargas, valentina",universidad de bolonia,essercito e franchismo,49,1
obra completa,"nogues, cesar",ossa menor,obra completa,50,1
erotica parda,"garcia lorenzo, jesus",ayuntamiento de galaroza,erotica parda,51,1
cinco agradecimientos,"garcia lorenzo, jesus",ariadna,cinco agradecimientos,52,1
"poemas, cuentos y fotografias","garcia lorenzo (jesus urceloy) lorenzo, d. jesus",fundacion cyii,"poemas, cuentos y fotografias",53,1
100 sonetos,"garcia lorenzo (jesus urceloy) lorenzo, d. jesus",la luna de merida,100 sonetos,54,1
cuentos de miedo,"garcia lorenzo (jesus urceloy) lorenzo, d. jesus",la luna de merida,cuentos de miedo,55,1
abecedario,"garcia lorenzo (jesus urceloy) lorenzo, d. jesus",la luna de merida,abecedario,56,1
anfora,"pozo garza, luz",impr. varela,anfora,57,1
o paxaro na boca,"pozo garza, luz",palacios,o paxaro na boca,58,1
el vagabungo,"pozo garza, luz",las riveras del eo,el vagabungo,59,1
notas a la gramatica de la lengua castellana de don andres bello,"cuervo, rufino jose",instituto caro y cuervo,notas a la gramatica de la lengua castellana de don andres bello,60,1
como preparar un aula de historia,"herrero, clemente, et al.",asa,como preparar un aula de historia,61,1
pacem in terris,,sept,pacem in terris,62,1
gran libro de s. cipriano o los tesoros del hechicero,,alfaguara,gran libro de s. cipriano o los tesoros del hechicero,63,1
"o estatuto de galiza, antecedentes e comentarios","alonso estravis, isaac",nos,"o estatuto de galiza, antecedentes e comentarios",64,1
v congreso luso-galaico de medicina do trabalho,"fraguela formoso, jose angel",tipografia peres,v congreso luso-galaico de medicina do trabalho,65,1
jalupi de alvupi. los dioses y demonios del conocimiento,"montoya, sergio enrique",edicion personal,jalupi de alvupi. los dioses y demonios del conocimiento,66,1
interpretacion estetica de la estatuaria megalitica americana,"oteiza, jorge",cultura hispanica-silverio aguirre,interpretacion estetica de la estatuaria megalitica americana,67,1
proposito experimental 1056-1957,"oteiza, jorge",graficas reunidas,proposito experimental 1056-1957,68,1
androcanto y sigo,"oteiza, jorge",aranzazu,androcanto y sigo,69,1
cronica dun inverno,"cortizas, anton",cig,cronica dun inverno,70,1
materiales de motivacion en casa y en el aula,,cohs,materiales de motivacion en casa y en el aula,71,1
dulce chacon,"ruiz carrascal, rosalia, ant.",aula valverde,dulce chacon,72,1
javier tomeo,"ruiz carrascal, rosalia, ant.",aula valverde,javier tomeo,73,1
"interminati spazi, sovrumani silenzi","vera saura, carmelo",stamperia dellarancio,"interminati spazi, sovrumani silenzi",74,1
premios del certamen jara camilo,"vera saura, carmelo",ayuntamiento de alcantarilla,premios del certamen jara camilo,75,1
poeti del mondo per giacomo leopardi,"vera saura, carmelo",centro nazionale di studi leopardiani,poeti del mondo per giacomo leopardi,76,1
eterno adolescente,"vera saura, carmelo",signum edizioni darte,eterno adolescente,77,1
poemes,josep marti mari,caixa de balears,poemes,78,1
paraules en carn viva,"molins, manuel, et al.",ceic alfons el vell,paraules en carn viva,79,1
"educar en relacion. cuadernos de educacion no sexista, no 11","salguero juan y seva, jose maria",instituto de la mujer,"educar en relacion. cuadernos de educacion no sexista, no 11",80,1
educar en relacion. las relaciones en la orientacion,"salguero juan y seva, jose maria",educar en relacion. cuadernos de ed. nacional,educar en relacion. las relaciones en la orientacion,81,1
sonido de la sombra,"climent, joan",rumbos,sonido de la sombra,82,1
dali capita,,joventut,dali capita,83,1
los balbos y el imperio romano,,universidad de buenos aires,los balbos y el imperio romano,84,1
defensa de julio cornelio balbo,,csic,defensa de julio cornelio balbo,85,1
documenta ad linguae latinae historiam illustrandam,,csic,documenta ad linguae latinae historiam illustrandam,86,1
san paciano. obras,"rubio fernandez, lisardo",universidad de barcelona,san paciano. obras,87,1
fontes hispaniae antiquae,,universidad de barcelona,fontes hispaniae antiquae,88,1
pamphilus de amore,,universidad de sevilla,pamphilus de amore,89,1
novena a nuestra senora del rosario,"cuadrado tapia, ricardo",monte carmelo,novena a nuestra senora del rosario,90,1
las realidades gratuitas son las mas necesarias,"cuadrado tapia, ricardo",monte carmelo,las realidades gratuitas son las mas necesarias,91,1
novena al venerable fray vicente de bernedo,"cuadrado tapia, ricardo",ediciones salesianos,novena al venerable fray vicente de bernedo,92,1
os doentes nos evangelizan,"cuadrado tapia, ricardo",edic. paulinas (brasil),os doentes nos evangelizan,93,1
catalogo biliografico de la exposicion biblias,"moralejo alvarez, maria remedios",biblioteca universitaria,catalogo biliografico de la exposicion biblias,94,1
catalogo biliografico de la exposicion de mapas y atlas de la biblioteca universitaria,"moralejo alvarez, maria remedios",biblioteca universitaria,catalogo biliografico de la exposicion de mapas y atlas de la biblioteca universitaria,95,1
derecho mercantil ii,"diaz moreno, alberto",editorial ariel,derecho mercantil ii,96,1
passio imaginis,"pons bonet, miquel",j. llopis. felanitx,passio imaginis,97,1
alberto bellon,"lacarta salvador, manuel",arteguia,alberto bellon,98,1
ruperto cabrera,"lacarta salvador, manuel",arteguia,ruperto cabrera,99,1
poemas aljarafies,"jurado lopez, manuel",tlass,poemas aljarafies,100,1
alba de azahar,"cabello, alfonso",port-royal ediciones,alba de azahar,101,1
te esperamos,"diez serrano, isabel",academia iberoamericana de poesia,te esperamos,102,1
ispanskaia noviella,"taibo arias, xoan ignacio",raduga,ispanskaia noviella,103,1
ilta sirkuksessa,"sanchez rosenberg, natascha",kirjalito,ilta sirkuksessa,104,1
colori,"sanchez rosenberg, natascha",classica licone,colori,105,1
opposti,"sanchez rosenberg, natascha",classica licorne,opposti,106,1
numeri,"sanchez rosenberg, natascha",classica licorne,numeri,107,1
historia de las civilizaciones,"caballos rufino, antonio francisco",bruno,historia de las civilizaciones,108,1
eleventh hour (toque de queda),"leon garcia, mercedes",modern international drama,eleventh hour (toque de queda),109,1
versos contigo,"ruiz guirado, jose",rondas,versos contigo,110,1
al son de nieve,"ruiz guirado, jose",libreria casalderrey,al son de nieve,111,1
espana,"marchetti, magda",patron,espana,112,1
il teatro di alfonso sastre,"ruggeri marchetti, magda",bulzoni,il teatro di alfonso sastre,113,1
il teatro di antonio buero vallejo o il proceso v. la verita,"ruggeri marchetti, magda",,il teatro di antonio buero vallejo o il proceso v. la verita,114,1
"resumen de las conferencias del iii curso de historia, arte y cultura de henares","canalda camara, jose carlos",institucion de estudios complutenses,"resumen de las conferencias del iii curso de historia, arte y cultura de henares",115,1
"resumen de las conferencias del iv curso de historia, arte y cultura de alcala de henares","canalda camara, jose carlos",institucion de estudios complutenses,"resumen de las conferencias del iv curso de historia, arte y cultura de alcala de henares",116,1
"resumen de las conferencias del ii curso de historia, arte y cultura de alcala de henares","canalda camara, jose carlos",institucion de estudios complutenses,"resumen de las conferencias del ii curso de historia, arte y cultura de alcala de henares",117,1
protesu soberanista tibil eta demokratikoetat,,fundacion manu robles-arangiz institutua,protesu soberanista tibil eta demokratikoetat,118,1
ihar euskal herriko egoera ekonomikoa atken hogei urte hanetan,,fundacion manu robles-arangiz institutua,ihar euskal herriko egoera ekonomikoa atken hogei urte hanetan,119,1
de frente a la vida,"caiza, ramiro",casa de la cultura ecuatoriana,de frente a la vida,120,1
catalogo de los archivos municipales turolenses,"aguirre gonzalez, francisco javier",consejo superior de investigaciones cientificas,catalogo de los archivos municipales turolenses,121,1
moda y salud,"polaino lorente, aquilino","universidad de navarra, servicio de actividades",moda y salud,122,1
el viaje,"silva castro, alberto leonardo",paradiso,el viaje,123,1
guinness world records 2002,,grupo planeta,guinness world records 2002,124,1
guiness world records 2003,,grupo planeta,guiness world records 2003,125,1
estudios biograficos ganivetianos,,serva-elite,estudios biograficos ganivetianos,126,1
deuda externa. jornadas de estudio,"puertas moya, francisco ernesto",congdcar,deuda externa. jornadas de estudio,127,1
deuda externa. jornadas de estudio,,congdcar,deuda externa. jornadas de estudio,128,1
la tierra y sus limites,"capel saez, horacio",editorial salvat,la tierra y sus limites,129,1
"lorca, capital subregional","capel saez, horacio",,"lorca, capital subregional",130,1
excepcionalismo en geografia,"capel saez, horacio",universitat de barcelona,excepcionalismo en geografia,131,1
homenaje al profesor casas torres,"capel saez, horacio",universidad de zaragoza,homenaje al profesor casas torres,132,1
lorca. cuarenta anos de su evolucion economica y social,"capel saez, horacio",,lorca. cuarenta anos de su evolucion economica y social,133,1
miscel.lania pau vila,"capel saez, horacio",institut destudis catalans,miscel.lania pau vila,134,1
miscel.lania pau vila,,institut destudis catalans,miscel.lania pau vila,135,1
raices y alas,"guzman camacho, juan antonio",la voz de huelva,raices y alas,136,1
la ternura del silencio,"guzman camacho, juan antonio",la voz de huelva,la ternura del silencio,137,1
el fundador ernesto gimenez caballero,"azorin garcia, francisco",instituto de estudios madrilenos,el fundador ernesto gimenez caballero,138,1
a la decouverte de la cote dhendaye,"lugaresaresti bilbao, joseba imanol",mairie de hendaye,a la decouverte de la cote dhendaye,139,1
la vanguardia en espana,"aullon de haro, pedro",ophrys-cric,la vanguardia en espana,140,1
antologia.....pasodoble,"aullon de haro, pedro",f.c.e. ministerio,antologia.....pasodoble,141,1
pensamiento y literatura en espana,"aullon de haro, pedro",universidad de toulouse,pensamiento y literatura en espana,142,1
sueno realizado,"lopez ledesma, jose",imp. samaran,sueno realizado,143,1
antologia imperfecta,"baena rojas, jose",la voz de huelva,antologia imperfecta,144,1
el profesorado y la prevencion de las drogodependencias,,grupo interdiciplinar sobre drogas,el profesorado y la prevencion de las drogodependencias,145,1
aitona ibilkaria,,manos unidas,aitona ibilkaria,146,1
poemas y fragmentos,tomas sanchez santiago (pr.),pavesas,poemas y fragmentos,147,1
deus caritas est,"fuertes fernandez, mariano",carmelitas,deus caritas est,148,1
en camino,"fuertes fernandez, mariano",pastorinas,en camino,149,1
palabras y cantos de jesus,"fuertes fernandez, mariano",o.c.p.,palabras y cantos de jesus,150,1
